prediction,ground_truth,diff_ops,error_ngrams
Ehe eiteral meauing of Pesach which,the literal meaning of Pesach which,"[('replace', 0, 1, 0, 1), ('replace', 4, 5, 4, 5), ('replace', 15, 16, 15, 16)]","[(('th', 'english-dominant'), 1), (('li', 'neutral'), 1), (('an', 'neutral'), 1), (('ni', 'neutral'), 1)]"
explieably from appreziable motives. Thie,explicably from appreciable motives . The,"[('replace', 5, 6, 5, 6), ('replace', 21, 22, 21, 22), ('insert', 35, 35, 35, 36), ('delete', 39, 40, 40, 40)]","[(('ic', 'neutral'), 1), (('ca', 'english-dominant'), 1), (('ec', 'english-dominant'), 1), (('ci', 'english-dominant'), 1), (('he', 'neutral'), 1)]"
Groaned under its loud ol COmplikted,groaned under its load of complicated,"[('replace', 0, 1, 0, 1), ('replace', 20, 21, 20, 21), ('replace', 24, 25, 24, 25), ('replace', 26, 28, 26, 28), ('replace', 32, 33, 32, 34)]","[(('gr', 'neutral'), 1), (('oa', 'english-dominant'), 1), (('ad', 'english-dominant'), 1), (('of', 'english-dominant'), 1), (('co', 'english-dominant'), 1), (('om', 'neutral'), 1), (('ic', 'neutral'), 1), (('ca', 'english-dominant'), 1)]"
with the Rume Tinisten Aunning wimselp in Famaica,With the Prime Minister sunning himself in Jamaica,"[('replace', 0, 1, 0, 1), ('replace', 9, 11, 9, 12), ('replace', 14, 15, 15, 16), ('replace', 21, 22, 22, 23), ('replace', 23, 24, 24, 25), ('replace', 31, 32, 32, 33), ('replace', 37, 38, 38, 39), ('replace', 42, 43, 43, 44)]","[(('ri', 'neutral'), 1), (('te', 'neutral'), 1), (('er', 'neutral'), 1), (('el', 'neutral'), 1), (('lf', 'neutral'), 1)]"
t inter eontact with the rollers on the upper,it into contact with the rollers on the upper,"[('insert', 0, 0, 0, 1), ('replace', 5, 7, 6, 7), ('replace', 8, 9, 8, 9)]","[(('nt', 'neutral'), 1), (('to', 'english-dominant'), 1), (('co', 'english-dominant'), 1)]"
scraus driven Prou the insibe The Pootrest is a,screws driven from the inside . The footrest is a,"[('replace', 3, 5, 3, 5), ('replace', 14, 15, 14, 15), ('replace', 17, 18, 17, 18), ('replace', 27, 28, 27, 28), ('insert', 29, 29, 29, 31), ('replace', 34, 35, 36, 37)]","[(('re', 'neutral'), 1), (('ew', 'neutral'), 1), (('ws', 'english-dominant'), 1), (('fr', 'neutral'), 1), (('om', 'neutral'), 1), (('id', 'neutral'), 1), (('de', 'german-dominant'), 1), (('he', 'neutral'), 1)]"
in Modezto Cantabile (auriounlytrans-,in Moderato Cantabile ( curiously trans-,"[('replace', 7, 8, 7, 9), ('replace', 22, 23, 23, 25), ('replace', 28, 29, 30, 31), ('insert', 31, 31, 33, 34)]","[(('er', 'neutral'), 1), (('ra', 'neutral'), 1), (('io', 'neutral'), 1), (('ou', 'english-dominant'), 1), (('sl', 'neutral'), 1)]"
Syumptoms. Me told Halnenarm Aut de tond,symptoms . He told Hahnemann that he found,"[('replace', 0, 1, 0, 1), ('delete', 2, 3, 2, 2), ('insert', 9, 9, 8, 9), ('replace', 11, 12, 11, 12), ('replace', 21, 22, 21, 22), ('insert', 24, 24, 24, 26), ('insert', 25, 25, 27, 31), ('delete', 26, 31, 32, 32), ('replace', 33, 34, 34, 35), ('replace', 36, 37, 37, 38), ('insert', 38, 38, 39, 40)]","[(('sy', 'neutral'), 1), (('ym', 'english-dominant'), 1), (('mp', 'neutral'), 1), (('ah', 'german-dominant'), 1), (('hn', 'german-dominant'), 1), (('em', 'neutral'), 1), (('ma', 'neutral'), 1), (('an', 'neutral'), 1), (('nn', 'german-dominant'), 1), (('th', 'english-dominant'), 1), (('ha', 'neutral'), 1), (('fo', 'english-dominant'), 1)]"
"To te atle 'bs say "" hen yenk next werk"" in an","To be able to say "" New York next week "" is an","[('replace', 3, 4, 3, 4), ('replace', 7, 8, 7, 8), ('replace', 11, 14, 11, 13), ('replace', 21, 22, 20, 21), ('replace', 23, 24, 22, 23), ('replace', 25, 28, 24, 27), ('replace', 37, 38, 36, 37), ('insert', 39, 39, 38, 39), ('replace', 42, 43, 42, 43)]","[(('be', 'neutral'), 1), (('ab', 'neutral'), 1), (('bl', 'neutral'), 1), (('to', 'english-dominant'), 1), (('ew', 'neutral'), 1), (('or', 'neutral'), 1), (('rk', 'german-dominant'), 1), (('ek', 'german-dominant'), 1), (('is', 'neutral'), 1)]"
and again und agein it is Me visual gualites,and again and again it is the visual qualities,"[('replace', 10, 11, 10, 11), ('replace', 16, 17, 16, 17), ('replace', 26, 27, 26, 28), ('replace', 36, 37, 37, 38), ('insert', 42, 42, 43, 44)]","[(('an', 'neutral'), 1), (('ga', 'neutral'), 1), (('ai', 'english-dominant'), 1), (('th', 'english-dominant'), 1), (('it', 'neutral'), 1)]"
"im Mo othel conquered conntrey, Moteven","In no other conquered country , not even","[('replace', 0, 2, 0, 2), ('replace', 3, 4, 3, 4), ('replace', 10, 11, 10, 11), ('replace', 24, 25, 24, 25), ('delete', 28, 29, 28, 28), ('insert', 30, 30, 29, 30), ('replace', 32, 33, 32, 33), ('insert', 35, 35, 35, 36)]","[(('no', 'english-dominant'), 2), (('er', 'neutral'), 1), (('ou', 'english-dominant'), 1), (('un', 'german-dominant'), 1), (('ry', 'english-dominant'), 1)]"
"hgeill de Unter helteur, No tud","hoped , he told Arthur , ' to find","[('replace', 1, 2, 1, 3), ('replace', 3, 6, 4, 5), ('replace', 7, 15, 6, 7), ('insert', 18, 18, 10, 13), ('insert', 19, 19, 14, 18), ('replace', 20, 21, 19, 20), ('insert', 23, 23, 22, 23), ('replace', 25, 26, 25, 28), ('replace', 28, 30, 30, 33)]","[(('ho', 'english-dominant'), 1), (('op', 'neutral'), 1), (('pe', 'neutral'), 1), (('ed', 'neutral'), 1), (('he', 'neutral'), 1), (('to', 'english-dominant'), 2), (('ol', 'neutral'), 1), (('ld', 'neutral'), 1), (('rt', 'neutral'), 1), (('th', 'english-dominant'), 1), (('hu', 'neutral'), 1), (('ur', 'neutral'), 1)]"
"tfeden it mut fer Gelungnl. Dut it monser mafed Mex! Bomeufon,","So the bus set out for Llangrwl . But it never reached there ! Somewhere ,","[('insert', 0, 0, 0, 3), ('replace', 1, 2, 4, 5), ('replace', 3, 4, 6, 12), ('delete', 5, 8, 13, 13), ('replace', 10, 11, 15, 16), ('replace', 15, 16, 20, 21), ('replace', 18, 20, 23, 24), ('replace', 21, 22, 25, 26), ('replace', 24, 25, 28, 30), ('insert', 26, 26, 31, 32), ('replace', 28, 29, 34, 35), ('delete', 35, 37, 41, 41), ('replace', 38, 39, 42, 44), ('replace', 42, 43, 47, 49), ('replace', 44, 45, 50, 52), ('replace', 48, 49, 55, 57), ('replace', 50, 51, 58, 61), ('replace', 53, 54, 63, 64), ('replace', 57, 61, 67, 73)]","[(('th', 'english-dominant'), 1), (('he', 'neutral'), 2), (('bu', 'neutral'), 1), (('ou', 'english-dominant'), 1), (('fo', 'english-dominant'), 1), (('or', 'neutral'), 1), (('la', 'neutral'), 1), (('an', 'neutral'), 1), (('gr', 'neutral'), 1), (('rw', 'neutral'), 1), (('ut', 'neutral'), 1), (('it', 'neutral'), 1), (('ne', 'neutral'), 1), (('ev', 'neutral'), 1), (('ve', 'neutral'), 1), (('er', 'neutral'), 2), (('re', 'neutral'), 2), (('ea', 'english-dominant'), 1), (('ac', 'neutral'), 1), (('ch', 'german-dominant'), 1), (('ed', 'neutral'), 1)]"
"Sept. 27, I335 Denr Melboune,  haue vereived","Sept. 27 , 1835 ' Dear Melbourne , ' I have received","[('insert', 8, 8, 8, 9), ('replace', 10, 12, 11, 13), ('insert', 15, 15, 16, 18), ('replace', 17, 18, 20, 21), ('insert', 26, 26, 29, 30), ('insert', 28, 28, 32, 33), ('insert', 30, 30, 35, 38), ('replace', 33, 34, 41, 42), ('replace', 36, 37, 44, 45), ('replace', 38, 39, 46, 47)]","[(('lb', 'neutral'), 1), (('ou', 'english-dominant'), 1), (('rn', 'neutral'), 1)]"
"Mstrumeuks of democnacy, such ar trade uuiows","instruments of democracy , such as trade unions","[('replace', 0, 1, 0, 2), ('replace', 7, 9, 8, 10), ('replace', 19, 20, 20, 21), ('insert', 23, 23, 24, 25), ('replace', 31, 32, 33, 34), ('replace', 40, 41, 42, 43), ('replace', 43, 44, 45, 46)]","[(('in', 'neutral'), 1), (('me', 'neutral'), 1), (('en', 'german-dominant'), 1), (('nt', 'neutral'), 1), (('oc', 'neutral'), 1), (('cr', 'english-dominant'), 1), (('cy', 'english-dominant'), 1), (('ni', 'neutral'), 1), (('io', 'neutral'), 1)]"
"Brtaim in nuvomortable in her voll o, Mampion",""" Britain is uncomfortable in her role of champion","[('insert', 0, 0, 0, 2), ('insert', 2, 2, 4, 5), ('replace', 5, 6, 8, 9), ('insert', 8, 8, 11, 14), ('replace', 9, 13, 15, 16), ('insert', 15, 15, 18, 19), ('replace', 30, 31, 34, 35), ('replace', 33, 34, 37, 38), ('replace', 36, 37, 40, 41), ('replace', 38, 39, 42, 44)]","[(('it', 'neutral'), 1), (('ta', 'neutral'), 1), (('in', 'neutral'), 1), (('is', 'neutral'), 1), (('nc', 'english-dominant'), 1), (('he', 'neutral'), 1), (('ol', 'neutral'), 1), (('le', 'neutral'), 1)]"
hat Chap. MeWitt. t00. Leawe it touue.,"that chap , Hewitt , too . Leave it to me . '","[('insert', 0, 0, 0, 1), ('replace', 4, 5, 5, 6), ('delete', 8, 9, 9, 9), ('replace', 10, 11, 10, 13), ('replace', 12, 13, 14, 15), ('replace', 16, 17, 18, 20), ('replace', 19, 21, 22, 25), ('replace', 26, 27, 30, 31), ('replace', 34, 36, 38, 40), ('insert', 37, 37, 41, 42), ('insert', 38, 38, 43, 45)]","[(('ap', 'english-dominant'), 1), (('it', 'neutral'), 2), (('tt', 'neutral'), 1), (('to', 'english-dominant'), 1)]"
"Cant go ligkting bonfires on this bus,""",""" Can't go lighting bonfires on this bus , ""","[('insert', 0, 0, 0, 2), ('insert', 3, 3, 5, 6), ('replace', 11, 12, 14, 15), ('insert', 37, 37, 40, 41), ('insert', 38, 38, 42, 43)]","[(('li', 'neutral'), 1), (('bu', 'neutral'), 1)]"
"doulourcux: As pareky as 1330, when Anglesey believed","douloureux . As early as 1830 , when Anglesey believed","[('replace', 7, 8, 7, 8), ('replace', 10, 11, 10, 12), ('replace', 15, 16, 16, 17), ('replace', 18, 20, 19, 20), ('replace', 26, 27, 26, 27), ('insert', 29, 29, 29, 30)]","[(('re', 'neutral'), 1), (('eu', 'german-dominant'), 1), (('ar', 'neutral'), 1), (('rl', 'neutral'), 1), (('ly', 'english-dominant'), 1)]"
"of natues, ailcuen und s ih geople Man","of mothers , children and sick people than","[('replace', 3, 5, 3, 5), ('replace', 6, 7, 6, 7), ('insert', 8, 8, 8, 9), ('insert', 9, 9, 10, 11), ('replace', 11, 12, 13, 15), ('replace', 14, 16, 17, 19), ('replace', 19, 20, 22, 23), ('insert', 24, 24, 27, 30), ('replace', 25, 29, 31, 32), ('replace', 35, 36, 38, 40)]","[(('mo', 'neutral'), 1), (('ot', 'english-dominant'), 1), (('th', 'english-dominant'), 1), (('he', 'neutral'), 1), (('er', 'neutral'), 1), (('rs', 'neutral'), 1), (('ch', 'german-dominant'), 1), (('hi', 'english-dominant'), 1), (('il', 'neutral'), 1), (('re', 'neutral'), 1), (('en', 'german-dominant'), 1), (('nd', 'neutral'), 1), (('si', 'neutral'), 1), (('ic', 'neutral'), 1), (('ck', 'neutral'), 1), (('pl', 'english-dominant'), 1), (('le', 'neutral'), 1)]"
Cangimenus alo remurks at once,longimanus also remains at one,"[('replace', 0, 2, 0, 2), ('replace', 6, 7, 6, 7), ('insert', 13, 13, 13, 14), ('replace', 18, 21, 19, 22), ('delete', 28, 29, 29, 29)]","[(('lo', 'english-dominant'), 1), (('on', 'neutral'), 2), (('ma', 'neutral'), 2), (('an', 'neutral'), 1), (('ls', 'neutral'), 1), (('em', 'neutral'), 1), (('ai', 'english-dominant'), 1), (('in', 'neutral'), 1), (('ne', 'neutral'), 1)]"
after lager of illusion to se peeled off aner,after layer of illusion to be peeled off and,"[('replace', 8, 9, 8, 9), ('replace', 27, 28, 27, 28), ('replace', 43, 45, 43, 44)]","[(('ay', 'english-dominant'), 1), (('ye', 'english-dominant'), 1), (('be', 'neutral'), 1), (('nd', 'neutral'), 1)]"
Se had made info dhr pereblums Hat beset,he had made into the problems that beset,"[('replace', 0, 1, 0, 1), ('replace', 14, 15, 14, 15), ('replace', 17, 18, 17, 18), ('replace', 19, 20, 19, 20), ('delete', 22, 23, 22, 22), ('replace', 24, 25, 23, 24), ('replace', 27, 28, 26, 27), ('replace', 31, 32, 30, 32)]","[(('he', 'neutral'), 2), (('nt', 'neutral'), 1), (('to', 'english-dominant'), 1), (('th', 'english-dominant'), 2), (('pr', 'neutral'), 1), (('ro', 'neutral'), 1), (('ob', 'neutral'), 1), (('bl', 'neutral'), 1), (('em', 'neutral'), 1), (('ms', 'neutral'), 1), (('ha', 'neutral'), 1)]"
Deute Gabrial Ponetli had nimple tankes im frod. At ione,Dante Gabriel Rossetti had simple tastes in food . At one,"[('replace', 1, 3, 1, 3), ('replace', 11, 12, 11, 12), ('replace', 14, 15, 14, 15), ('replace', 16, 17, 16, 18), ('replace', 19, 20, 20, 21), ('replace', 26, 27, 27, 28), ('replace', 35, 37, 36, 38), ('replace', 41, 42, 42, 43), ('replace', 44, 45, 45, 46), ('insert', 47, 47, 48, 49), ('delete', 52, 53, 54, 54)]","[(('an', 'neutral'), 1), (('nt', 'neutral'), 1), (('ie', 'german-dominant'), 1), (('el', 'neutral'), 1), (('os', 'neutral'), 1), (('ss', 'neutral'), 1), (('et', 'neutral'), 1), (('tt', 'neutral'), 1), (('ta', 'neutral'), 1), (('as', 'neutral'), 1), (('st', 'neutral'), 1), (('in', 'neutral'), 1), (('fo', 'english-dominant'), 1), (('od', 'neutral'), 1)]"
"some expenrive, some guik cheapi some good","some expensive , some quite cheap ; some good","[('replace', 10, 11, 10, 11), ('insert', 14, 14, 14, 15), ('replace', 21, 22, 22, 23), ('replace', 24, 25, 25, 27), ('replace', 31, 32, 33, 35)]","[(('ns', 'neutral'), 1), (('si', 'neutral'), 1), (('ui', 'english-dominant'), 1), (('it', 'neutral'), 1), (('ea', 'english-dominant'), 1), (('ap', 'english-dominant'), 1)]"
said Britain had an obligation Fo unsult,said Britain had an obligation to consult,"[('replace', 31, 32, 31, 32), ('replace', 34, 35, 34, 36)]","[(('to', 'english-dominant'), 1), (('co', 'english-dominant'), 1)]"
upins aud numerous others.,lupins and numerous others .,"[('insert', 0, 0, 0, 1), ('replace', 7, 8, 8, 9), ('insert', 25, 25, 26, 27)]","[(('an', 'neutral'), 1), (('rs', 'neutral'), 1)]"
inhoriked desine Ao rucb Ahu man. If De did he,inherited desire to snub the man . If he did he,"[('replace', 3, 4, 3, 4), ('replace', 6, 7, 6, 7), ('replace', 14, 15, 14, 15), ('replace', 17, 18, 17, 18), ('replace', 20, 21, 20, 22), ('delete', 22, 23, 23, 23), ('replace', 25, 26, 25, 26), ('replace', 27, 28, 27, 28), ('insert', 32, 32, 32, 33), ('replace', 37, 38, 38, 39)]","[(('he', 'neutral'), 2), (('er', 'neutral'), 1), (('it', 'neutral'), 1), (('te', 'neutral'), 1), (('ir', 'neutral'), 1), (('re', 'neutral'), 1), (('to', 'english-dominant'), 1), (('sn', 'neutral'), 1), (('nu', 'german-dominant'), 1), (('ub', 'neutral'), 1), (('th', 'english-dominant'), 1)]"
fint. 1wont staud for i. Exit a pglech ameican.,"first . I won't stand for it . "" Exit a puzzled American .","[('replace', 2, 3, 2, 4), ('insert', 4, 4, 5, 6), ('replace', 6, 7, 8, 10), ('insert', 10, 10, 13, 14), ('replace', 15, 16, 19, 20), ('insert', 23, 23, 27, 29), ('insert', 24, 24, 30, 32), ('replace', 33, 34, 41, 44), ('replace', 36, 38, 46, 47), ('replace', 39, 40, 48, 49), ('insert', 42, 42, 51, 52), ('insert', 46, 46, 56, 57)]","[(('ir', 'neutral'), 1), (('rs', 'neutral'), 1), (('st', 'neutral'), 1), (('fo', 'english-dominant'), 1), (('or', 'neutral'), 1), (('it', 'neutral'), 1), (('uz', 'german-dominant'), 1), (('ed', 'neutral'), 1)]"
His wohole attitude was a mixture of,His whole attitude was a mixture of,"[('delete', 5, 6, 5, 5)]","[(('wh', 'english-dominant'), 1), (('ho', 'english-dominant'), 1)]"
He ammuut of derical work bepre...,the amount of clerical work before ...,"[('replace', 0, 1, 0, 2), ('replace', 5, 6, 6, 7), ('replace', 7, 8, 8, 9), ('replace', 13, 14, 14, 16), ('replace', 28, 29, 30, 32), ('insert', 31, 31, 34, 35)]","[(('th', 'english-dominant'), 1), (('am', 'neutral'), 1), (('mo', 'neutral'), 1), (('ou', 'english-dominant'), 1), (('un', 'german-dominant'), 1), (('be', 'neutral'), 1), (('fo', 'english-dominant'), 1)]"
"chuse, Sweger ,bread and floww","cheese , sugar , bread and flour","[('replace', 2, 3, 2, 4), ('insert', 5, 5, 6, 7), ('replace', 7, 10, 9, 11), ('replace', 11, 12, 12, 13), ('insert', 15, 15, 16, 17), ('replace', 28, 30, 30, 32)]","[(('he', 'neutral'), 1), (('ee', 'neutral'), 1), (('se', 'neutral'), 1), (('su', 'neutral'), 1), (('ug', 'neutral'), 1), (('ga', 'neutral'), 1), (('fl', 'neutral'), 1), (('lo', 'english-dominant'), 1), (('ou', 'english-dominant'), 1)]"
wno in patnap) fre lest Vadet de Unandere SPhalt ever wan. But he,who is perhaps the best Valet de Chambre that ever was . But he,"[('replace', 1, 2, 1, 2), ('replace', 5, 6, 5, 6), ('replace', 8, 11, 8, 11), ('replace', 13, 14, 13, 14), ('replace', 15, 17, 15, 17), ('replace', 19, 20, 19, 20), ('replace', 26, 27, 26, 27), ('replace', 33, 35, 33, 35), ('replace', 36, 39, 36, 38), ('replace', 42, 44, 41, 42), ('delete', 46, 47, 44, 44), ('replace', 56, 57, 53, 55)]","[(('wh', 'english-dominant'), 1), (('ho', 'english-dominant'), 1), (('is', 'neutral'), 1), (('pe', 'neutral'), 1), (('er', 'neutral'), 1), (('rh', 'neutral'), 1), (('ha', 'neutral'), 3), (('ps', 'english-dominant'), 1), (('th', 'english-dominant'), 2), (('he', 'neutral'), 1), (('be', 'neutral'), 1), (('al', 'neutral'), 1), (('le', 'neutral'), 1), (('am', 'neutral'), 1), (('mb', 'neutral'), 1), (('br', 'neutral'), 1), (('re', 'neutral'), 1), (('at', 'neutral'), 1), (('ev', 'neutral'), 1)]"
ies to hao that it tock mare Hhan just,tries to show that it took more than just,"[('insert', 0, 0, 0, 2), ('insert', 7, 7, 9, 10), ('delete', 8, 9, 11, 11), ('insert', 10, 10, 12, 13), ('replace', 21, 22, 24, 25), ('replace', 25, 26, 28, 29), ('replace', 29, 30, 32, 33)]","[(('to', 'english-dominant'), 1), (('sh', 'english-dominant'), 1), (('ok', 'neutral'), 1), (('or', 'neutral'), 1), (('re', 'neutral'), 1)]"
Hei s getling on well but is pnetly helpfess GufP with his,He 's getting on well but is pretty helpless still with his,"[('delete', 2, 3, 2, 2), ('insert', 4, 4, 3, 4), ('replace', 9, 10, 9, 10), ('replace', 30, 31, 30, 31), ('replace', 33, 34, 33, 34), ('replace', 40, 41, 40, 41), ('replace', 45, 49, 45, 50)]","[(('tt', 'neutral'), 2), (('ti', 'neutral'), 2), (('pr', 'neutral'), 1), (('re', 'neutral'), 1), (('ty', 'english-dominant'), 1), (('pl', 'english-dominant'), 1), (('le', 'neutral'), 1), (('st', 'neutral'), 1), (('il', 'neutral'), 1), (('ll', 'neutral'), 1)]"
"said "" Nonsense."" As usuaP, the optimists hawe been","said "" Nonsense . "" As usual , the optimists have been","[('insert', 15, 15, 15, 16), ('insert', 16, 16, 17, 18), ('replace', 25, 26, 27, 29), ('replace', 44, 45, 47, 48)]","[(('su', 'neutral'), 1), (('ua', 'neutral'), 1)]"
unitg of Conclption and Control are veryuhere,unity of conception and control are everywhere,"[('replace', 4, 5, 4, 5), ('replace', 9, 10, 9, 10), ('replace', 13, 14, 13, 14), ('replace', 24, 25, 24, 25), ('insert', 36, 36, 36, 37), ('replace', 40, 41, 41, 42)]","[(('ty', 'english-dominant'), 1), (('co', 'english-dominant'), 2), (('ce', 'english-dominant'), 1), (('ep', 'neutral'), 1), (('ry', 'english-dominant'), 1), (('yw', 'english-dominant'), 1)]"
"meet Hhie Deauer, aud as scon as Guy Wad","meet the Deanes , and as soon as Guy had","[('replace', 5, 6, 5, 6), ('delete', 7, 8, 7, 7), ('replace', 13, 14, 12, 13), ('replace', 15, 16, 14, 16), ('replace', 19, 20, 19, 20), ('replace', 26, 27, 26, 27), ('replace', 37, 38, 37, 38)]","[(('th', 'english-dominant'), 1), (('he', 'neutral'), 1), (('ne', 'neutral'), 1), (('es', 'neutral'), 1), (('an', 'neutral'), 1), (('nd', 'neutral'), 1), (('so', 'neutral'), 1), (('oo', 'english-dominant'), 1), (('ha', 'neutral'), 1)]"
conceded one to the otkei. Tkey rarely,conceded one to the other . They rarely,"[('replace', 22, 23, 22, 23), ('replace', 24, 25, 24, 26), ('replace', 28, 29, 29, 30)]","[(('th', 'english-dominant'), 1), (('he', 'neutral'), 1), (('er', 'neutral'), 1)]"
"em aut. Just weat Hhebe anden will be, we dont","them out . Just what these orders will be , we don't","[('insert', 0, 0, 0, 2), ('replace', 3, 4, 5, 6), ('insert', 6, 6, 8, 9), ('replace', 14, 15, 17, 18), ('replace', 18, 19, 21, 22), ('replace', 21, 22, 24, 25), ('replace', 24, 26, 27, 29), ('replace', 28, 29, 31, 33), ('insert', 37, 37, 41, 42), ('insert', 45, 45, 50, 51)]","[(('em', 'neutral'), 1), (('ou', 'english-dominant'), 1), (('st', 'neutral'), 1), (('ha', 'neutral'), 1), (('at', 'neutral'), 1), (('th', 'english-dominant'), 1), (('es', 'neutral'), 1), (('se', 'neutral'), 1), (('or', 'neutral'), 1), (('rd', 'neutral'), 1), (('ll', 'neutral'), 1), (('we', 'neutral'), 1)]"
me Pco eser weecd.,like to see used .,"[('replace', 0, 1, 0, 3), ('replace', 3, 5, 5, 6), ('delete', 7, 8, 8, 8), ('replace', 10, 11, 10, 11), ('replace', 12, 13, 12, 14), ('delete', 14, 16, 15, 15), ('insert', 17, 17, 16, 17)]","[(('li', 'neutral'), 1), (('ke', 'neutral'), 1), (('ee', 'neutral'), 1), (('us', 'neutral'), 1), (('se', 'neutral'), 1), (('ed', 'neutral'), 1)]"
in Scretf tie Cyvandeen lettens he hewer,in secret the unguarded letters he never,"[('replace', 3, 4, 3, 5), ('delete', 8, 9, 9, 9), ('replace', 11, 12, 11, 12), ('replace', 14, 17, 14, 18), ('replace', 18, 19, 19, 20), ('replace', 21, 23, 22, 23), ('replace', 29, 30, 29, 30), ('replace', 35, 36, 35, 36), ('replace', 37, 38, 37, 38)]","[(('se', 'neutral'), 1), (('et', 'neutral'), 1), (('th', 'english-dominant'), 1), (('he', 'neutral'), 1), (('un', 'german-dominant'), 1), (('ng', 'neutral'), 1), (('gu', 'neutral'), 1), (('ua', 'neutral'), 1), (('ar', 'neutral'), 1), (('de', 'german-dominant'), 1), (('ed', 'neutral'), 1), (('er', 'neutral'), 1), (('rs', 'neutral'), 1), (('ne', 'neutral'), 1), (('ev', 'neutral'), 1), (('ve', 'neutral'), 1)]"
antil nome fkture date. Theg deaine Aupegple,until some future date . They deceive the people,"[('replace', 0, 1, 0, 1), ('replace', 6, 7, 6, 7), ('replace', 12, 13, 12, 13), ('insert', 22, 22, 22, 23), ('replace', 27, 28, 28, 29), ('replace', 31, 32, 32, 34), ('replace', 33, 34, 35, 36), ('replace', 36, 38, 38, 42), ('replace', 40, 41, 44, 45)]","[(('un', 'german-dominant'), 1), (('so', 'neutral'), 1), (('fu', 'neutral'), 1), (('ut', 'neutral'), 1), (('he', 'neutral'), 2), (('ey', 'english-dominant'), 1), (('de', 'german-dominant'), 1), (('ec', 'english-dominant'), 1), (('ce', 'english-dominant'), 1), (('ei', 'german-dominant'), 1), (('ve', 'neutral'), 1)]"
disagree wilh kim? Tke gats auswer teat.,disagree with him ? The facts answer that .,"[('replace', 11, 12, 11, 12), ('replace', 14, 15, 14, 15), ('insert', 17, 17, 17, 18), ('replace', 20, 21, 21, 22), ('replace', 23, 24, 24, 25), ('insert', 25, 25, 26, 27), ('replace', 29, 30, 31, 32), ('replace', 36, 37, 38, 39), ('insert', 39, 39, 41, 42)]","[(('it', 'neutral'), 1), (('th', 'english-dominant'), 1), (('hi', 'english-dominant'), 1), (('fa', 'neutral'), 1), (('ha', 'neutral'), 1)]"
Mouse & Commonsthis ofteuncon. Larbowe M.P. > alzesdy,House of Commons this afternoon . Labour M.P.s already,"[('replace', 0, 1, 0, 1), ('replace', 6, 7, 6, 8), ('insert', 15, 15, 16, 17), ('replace', 20, 21, 22, 23), ('replace', 24, 25, 26, 27), ('replace', 26, 27, 28, 29), ('insert', 29, 29, 31, 32), ('delete', 33, 34, 36, 36), ('replace', 36, 38, 38, 40), ('replace', 43, 45, 45, 46), ('replace', 48, 49, 49, 50), ('replace', 50, 51, 51, 52)]","[(('of', 'english-dominant'), 1), (('ns', 'neutral'), 1), (('is', 'neutral'), 1), (('ft', 'neutral'), 1), (('te', 'neutral'), 1), (('er', 'neutral'), 1), (('rn', 'neutral'), 1), (('oo', 'english-dominant'), 1), (('ab', 'neutral'), 1), (('bo', 'english-dominant'), 1), (('ou', 'english-dominant'), 1), (('al', 'neutral'), 1), (('lr', 'english-dominant'), 1), (('re', 'neutral'), 1), (('ea', 'english-dominant'), 1)]"
"climt the stairs, stamping with unnecessary vigour mpon","climb the stairs , stamping with unnecessary vigour upon","[('replace', 4, 5, 4, 5), ('insert', 16, 16, 16, 17), ('replace', 51, 52, 52, 53)]","[(('mb', 'neutral'), 1)]"
"of the Wigs, and thetemporary assumption of the","of the Whigs , and the temporary assumption of the","[('insert', 8, 8, 8, 9), ('insert', 11, 11, 12, 13), ('insert', 20, 20, 22, 23)]","[(('gs', 'neutral'), 1), (('th', 'english-dominant'), 1)]"
studying them Toolag. The aonference will meer,studying them today . The conference will meet,"[('replace', 14, 15, 14, 15), ('replace', 16, 18, 16, 17), ('replace', 19, 20, 18, 20), ('replace', 26, 27, 26, 27), ('replace', 45, 46, 45, 46)]","[(('to', 'english-dominant'), 1), (('od', 'neutral'), 1), (('da', 'neutral'), 1), (('ay', 'english-dominant'), 1), (('co', 'english-dominant'), 1), (('et', 'neutral'), 1)]"
seehing. Afmicam delesades aue studgmg,seeking . African delegates are studying,"[('replace', 3, 4, 3, 4), ('insert', 7, 7, 7, 8), ('replace', 11, 12, 12, 13), ('replace', 15, 16, 16, 17), ('replace', 21, 22, 22, 23), ('replace', 23, 24, 24, 25), ('replace', 28, 29, 29, 30), ('insert', 35, 35, 36, 39), ('delete', 36, 38, 40, 40)]","[(('ek', 'german-dominant'), 1), (('ki', 'neutral'), 1), (('fr', 'neutral'), 1), (('ca', 'english-dominant'), 1), (('an', 'neutral'), 1), (('le', 'neutral'), 1), (('eg', 'neutral'), 1), (('ga', 'neutral'), 1), (('at', 'neutral'), 1), (('ar', 'neutral'), 1), (('ud', 'neutral'), 1), (('dy', 'english-dominant'), 1), (('yi', 'english-dominant'), 1), (('in', 'neutral'), 1)]"
