prediction,ground_truth,diff_ops,error_ngrams
"ouf tart... What a gag, linely perpte, and whrt","out fast ... . What a gay , lively people , and what","[('insert', 2, 2, 2, 4), ('insert', 3, 3, 5, 8), ('delete', 4, 8, 9, 9), ('insert', 10, 10, 11, 13), ('replace', 21, 22, 24, 26), ('replace', 26, 27, 30, 31), ('replace', 33, 34, 37, 38), ('replace', 35, 36, 39, 40), ('insert', 37, 37, 41, 42), ('replace', 45, 46, 50, 51)]","[(('out', 'english-dominant'), 1), (('fas', 'neutral'), 1), (('ast', 'english-dominant'), 1), (('ely', 'english-dominant'), 1), (('peo', 'english-dominant'), 2), (('eop', 'english-dominant'), 1), (('and', 'neutral'), 1)]"
"io sin bowN By THE PRimE MivisiER."" PRo1EsiTs HAD BEEN ExpECTE)","to sit down by the Prime Minister . "" Protests had been expected","[('replace', 0, 1, 0, 1), ('insert', 5, 5, 5, 10), ('delete', 8, 13, 13, 13), ('replace', 15, 18, 15, 18), ('replace', 20, 21, 20, 21), ('replace', 23, 24, 23, 24), ('replace', 27, 28, 27, 28), ('replace', 30, 33, 30, 34), ('insert', 34, 34, 35, 36), ('replace', 37, 38, 39, 40), ('replace', 39, 41, 41, 43), ('replace', 42, 44, 44, 45), ('replace', 46, 49, 47, 50), ('replace', 50, 54, 51, 55), ('replace', 55, 56, 56, 57), ('replace', 58, 63, 59, 64)]","[(('sit', 'neutral'), 1), (('dow', 'english-dominant'), 1), (('own', 'english-dominant'), 1), (('the', 'english-dominant'), 1), (('rim', 'neutral'), 1), (('ime', 'neutral'), 1), (('ini', 'neutral'), 1), (('nis', 'neutral'), 1), (('ist', 'neutral'), 1), (('ste', 'neutral'), 1), (('ter', 'neutral'), 1), (('rot', 'neutral'), 1), (('ote', 'neutral'), 2), (('tes', 'neutral'), 1), (('est', 'neutral'), 1), (('sts', 'neutral'), 1), (('had', 'english-dominant'), 1), (('bee', 'english-dominant'), 1), (('een', 'english-dominant'), 1), (('exp', 'neutral'), 1), (('xpe', 'neutral'), 1), (('pec', 'english-dominant'), 1), (('ect', 'english-dominant'), 1), (('cte', 'english-dominant'), 1), (('ted', 'english-dominant'), 1)]"
trolbio suolnt wot be pesspeut.,trouble should not be present .,"[('insert', 3, 3, 3, 5), ('replace', 4, 7, 6, 7), ('insert', 9, 9, 9, 11), ('delete', 10, 11, 12, 12), ('insert', 12, 12, 13, 15), ('delete', 13, 16, 16, 16), ('insert', 23, 23, 23, 24), ('delete', 25, 27, 26, 26), ('replace', 28, 29, 27, 28), ('insert', 30, 30, 29, 30)]","[(('rou', 'english-dominant'), 1), (('oub', 'english-dominant'), 2), (('ubl', 'english-dominant'), 1), (('ble', 'neutral'), 1), (('sho', 'english-dominant'), 2), (('hou', 'english-dominant'), 1), (('oul', 'english-dominant'), 2), (('uld', 'english-dominant'), 2), (('not', 'english-dominant'), 1), (('pre', 'english-dominant'), 1), (('res', 'neutral'), 1), (('ese', 'neutral'), 1), (('sen', 'german-dominant'), 1), (('ent', 'neutral'), 2)]"
hirtorg d anglesugn unwaring sard for an,history of Anglesey's unceasing search for an,"[('replace', 2, 3, 2, 3), ('replace', 6, 7, 6, 7), ('replace', 8, 9, 8, 10), ('replace', 10, 11, 11, 12), ('replace', 16, 19, 17, 21), ('replace', 22, 23, 24, 26), ('replace', 24, 25, 27, 28), ('insert', 30, 30, 33, 34), ('replace', 32, 33, 36, 38)]","[(('his', 'english-dominant'), 1), (('ist', 'neutral'), 1), (('sto', 'english-dominant'), 1), (('ory', 'english-dominant'), 1), (('les', 'neutral'), 1), (('ese', 'neutral'), 1), (('sey', 'english-dominant'), 1), (('unc', 'english-dominant'), 2), (('nce', 'english-dominant'), 1), (('cea', 'english-dominant'), 1), (('ing', 'english-dominant'), 1), (('sea', 'english-dominant'), 1)]"
Leaping Forward with a cChoked sound he graspect the oblong,Leaping forward with a choked sound he grasped the oblong,"[('replace', 8, 9, 8, 9), ('delete', 24, 25, 24, 24), ('replace', 46, 48, 45, 46)]","[(('for', 'english-dominant'), 1), (('cho', 'neutral'), 1), (('hok', 'neutral'), 1), (('the', 'english-dominant'), 1)]"
ngagemen wonld vobaly haue to be ter,engagement would probably have to be for,"[('insert', 0, 0, 0, 1), ('insert', 8, 8, 9, 10), ('replace', 11, 12, 13, 14), ('replace', 15, 16, 17, 19), ('insert', 19, 19, 22, 23), ('replace', 24, 25, 28, 29), ('replace', 33, 35, 37, 39)]","[(('men', 'neutral'), 1), (('ent', 'neutral'), 1), (('wou', 'english-dominant'), 1), (('uld', 'english-dominant'), 1), (('pro', 'neutral'), 1), (('rob', 'neutral'), 1), (('bly', 'english-dominant'), 1)]"
hig characten.,his characters .,"[('replace', 2, 3, 2, 3), ('replace', 12, 13, 12, 15)]","[(('his', 'english-dominant'), 1), (('ter', 'neutral'), 1), (('ers', 'neutral'), 1)]"
in the madern equivalent of tol2-Coat and Sword.,in the modern equivalent of frock-coat and sword .,"[('replace', 8, 9, 8, 9), ('replace', 28, 29, 28, 30), ('replace', 30, 32, 31, 33), ('replace', 33, 34, 34, 35), ('replace', 42, 43, 43, 44), ('insert', 47, 47, 48, 49)]","[(('mod', 'neutral'), 1), (('ode', 'neutral'), 1), (('fro', 'english-dominant'), 2), (('roc', 'neutral'), 1), (('ock', 'neutral'), 1), (('ord', 'neutral'), 1)]"
"and going to marny a Foreigner ...""","and going to marry a foreigner ... ""","[('replace', 16, 17, 16, 17), ('replace', 21, 22, 21, 22), ('insert', 34, 34, 34, 35)]","[(('arr', 'english-dominant'), 1), (('rry', 'english-dominant'), 1), (('for', 'english-dominant'), 1)]"
In our owh minds we may bepretty Sure what,In our own minds we may be pretty sure what,"[('replace', 9, 10, 9, 10), ('insert', 26, 26, 26, 27), ('replace', 33, 34, 34, 35)]","[(('own', 'english-dominant'), 1)]"
aud to deäde an wlat seewed ho be te best,and to decide on what seemed to be the best,"[('replace', 1, 2, 1, 2), ('replace', 9, 10, 9, 11), ('replace', 13, 14, 14, 15), ('replace', 17, 18, 18, 19), ('replace', 24, 25, 25, 26), ('replace', 28, 29, 29, 30), ('insert', 35, 35, 36, 37)]","[(('and', 'neutral'), 1), (('dec', 'neutral'), 1), (('eci', 'english-dominant'), 1), (('cid', 'english-dominant'), 1), (('wha', 'english-dominant'), 1), (('see', 'neutral'), 1), (('eem', 'english-dominant'), 1), (('eme', 'neutral'), 1)]"
ceimbing the onter wall to arcomaboue,climbing the outer wall to a room above .,"[('replace', 1, 2, 1, 2), ('replace', 14, 15, 14, 15), ('insert', 28, 28, 28, 29), ('replace', 29, 30, 30, 31), ('insert', 32, 32, 33, 34), ('replace', 35, 36, 37, 38), ('insert', 37, 37, 39, 41)]","[(('cli', 'english-dominant'), 1), (('lim', 'neutral'), 1), (('out', 'english-dominant'), 1), (('ute', 'neutral'), 1), (('roo', 'english-dominant'), 1), (('oom', 'english-dominant'), 1), (('abo', 'english-dominant'), 1), (('bov', 'english-dominant'), 2), (('ove', 'english-dominant'), 1)]"
"divorce, Auat der fatuer, Mad jade Bypen, was","divorce , that her father , ' Mad Jack Byron ' , was","[('insert', 7, 7, 7, 8), ('replace', 9, 11, 10, 12), ('replace', 14, 15, 15, 16), ('replace', 21, 22, 22, 23), ('insert', 24, 24, 25, 26), ('insert', 25, 25, 27, 29), ('replace', 30, 31, 34, 35), ('replace', 32, 34, 36, 38), ('replace', 37, 39, 41, 43), ('insert', 40, 40, 44, 47)]","[(('tha', 'english-dominant'), 1), (('fat', 'english-dominant'), 1), (('ath', 'english-dominant'), 1), (('the', 'english-dominant'), 1), (('her', 'neutral'), 1), (('ack', 'english-dominant'), 1)]"
texts to support he thesis of R. tosluab-Leti,texts to support the thesis of R. Joshua b. Levi .,"[('insert', 17, 17, 17, 18), ('replace', 33, 34, 34, 35), ('replace', 36, 37, 37, 38), ('insert', 39, 39, 40, 41), ('replace', 40, 41, 42, 44), ('replace', 43, 44, 46, 47), ('insert', 45, 45, 48, 50)]","[(('osh', 'english-dominant'), 1), (('shu', 'english-dominant'), 1), (('hua', 'english-dominant'), 1)]"
were also used. Dats somehimel served in place ofthe,were also used . Dots sometimes served in place of the,"[('insert', 14, 14, 14, 15), ('replace', 17, 18, 18, 19), ('replace', 25, 26, 26, 27), ('replace', 29, 30, 30, 31), ('insert', 49, 49, 50, 51)]","[(('ome', 'english-dominant'), 1), (('met', 'neutral'), 1), (('eti', 'neutral'), 1), (('ime', 'neutral'), 1), (('mes', 'neutral'), 1)]"
oA Hie plaue wrfte kin were Valling.,off the plane with him were talking .,"[('replace', 1, 2, 1, 3), ('replace', 3, 5, 4, 6), ('replace', 10, 11, 11, 12), ('replace', 14, 16, 15, 16), ('replace', 17, 18, 17, 18), ('replace', 19, 20, 19, 20), ('replace', 21, 22, 21, 22), ('replace', 28, 29, 28, 29), ('replace', 31, 32, 31, 32), ('insert', 35, 35, 35, 36)]","[(('off', 'neutral'), 1), (('the', 'english-dominant'), 1), (('pla', 'english-dominant'), 1), (('lan', 'neutral'), 1), (('ane', 'neutral'), 1), (('wit', 'english-dominant'), 1), (('ith', 'english-dominant'), 2), (('him', 'english-dominant'), 2), (('tal', 'neutral'), 1), (('alk', 'english-dominant'), 1), (('lki', 'english-dominant'), 1), (('kin', 'english-dominant'), 1)]"
Me scicd Mese caucesned Mr Weauer,He said these concerned Mr. Weaver's,"[('replace', 0, 1, 0, 1), ('replace', 4, 5, 4, 5), ('delete', 6, 7, 6, 6), ('replace', 9, 10, 8, 10), ('replace', 15, 17, 15, 17), ('replace', 19, 20, 19, 20), ('insert', 26, 26, 26, 27), ('replace', 30, 31, 31, 32), ('insert', 33, 33, 34, 36)]","[(('sai', 'english-dominant'), 1), (('aid', 'english-dominant'), 2), (('the', 'english-dominant'), 1), (('hes', 'english-dominant'), 1), (('con', 'english-dominant'), 1), (('onc', 'english-dominant'), 1), (('nce', 'english-dominant'), 1), (('cer', 'english-dominant'), 1), (('ern', 'german-dominant'), 1), (('rne', 'neutral'), 1), (('eav', 'english-dominant'), 1), (('ave', 'english-dominant'), 1), (('ver', 'neutral'), 1)]"
Ehe eiteral meauing of Pesach which,the literal meaning of Pesach which,"[('replace', 0, 1, 0, 1), ('replace', 4, 5, 4, 5), ('replace', 15, 16, 15, 16)]","[(('the', 'english-dominant'), 1), (('lit', 'neutral'), 1), (('ean', 'neutral'), 1), (('ani', 'neutral'), 1), (('nin', 'neutral'), 1)]"
explieably from appreziable motives. Thie,explicably from appreciable motives . The,"[('replace', 5, 6, 5, 6), ('replace', 21, 22, 21, 22), ('insert', 35, 35, 35, 36), ('delete', 39, 40, 40, 40)]","[(('lic', 'german-dominant'), 1), (('ica', 'english-dominant'), 1), (('cab', 'english-dominant'), 1), (('rec', 'neutral'), 1), (('eci', 'english-dominant'), 1), (('cia', 'english-dominant'), 1)]"
Groaned under its loud ol COmplikted,groaned under its load of complicated,"[('replace', 0, 1, 0, 1), ('replace', 20, 21, 20, 21), ('replace', 24, 25, 24, 25), ('replace', 26, 28, 26, 28), ('replace', 32, 33, 32, 34)]","[(('gro', 'neutral'), 1), (('loa', 'english-dominant'), 1), (('oad', 'english-dominant'), 1), (('com', 'english-dominant'), 1), (('omp', 'neutral'), 1), (('lic', 'german-dominant'), 1), (('ica', 'english-dominant'), 1), (('cat', 'english-dominant'), 1)]"
with the Rume Tinisten Aunning wimselp in Famaica,With the Prime Minister sunning himself in Jamaica,"[('replace', 0, 1, 0, 1), ('replace', 9, 11, 9, 12), ('replace', 14, 15, 15, 16), ('replace', 21, 22, 22, 23), ('replace', 23, 24, 24, 25), ('replace', 31, 32, 32, 33), ('replace', 37, 38, 38, 39), ('replace', 42, 43, 43, 44)]","[(('rim', 'neutral'), 1), (('ste', 'neutral'), 1), (('ter', 'neutral'), 1), (('sel', 'neutral'), 1), (('elf', 'neutral'), 1)]"
t inter eontact with the rollers on the upper,it into contact with the rollers on the upper,"[('insert', 0, 0, 0, 1), ('replace', 5, 7, 6, 7), ('replace', 8, 9, 8, 9)]","[(('int', 'neutral'), 1), (('nto', 'english-dominant'), 1), (('con', 'english-dominant'), 1)]"
scraus driven Prou the insibe The Pootrest is a,screws driven from the inside . The footrest is a,"[('replace', 3, 5, 3, 5), ('replace', 14, 15, 14, 15), ('replace', 17, 18, 17, 18), ('replace', 27, 28, 27, 28), ('insert', 29, 29, 29, 31), ('replace', 34, 35, 36, 37)]","[(('cre', 'english-dominant'), 1), (('rew', 'english-dominant'), 1), (('ews', 'english-dominant'), 1), (('fro', 'english-dominant'), 1), (('rom', 'english-dominant'), 1), (('sid', 'english-dominant'), 1), (('ide', 'neutral'), 1)]"
in Modezto Cantabile (auriounlytrans-,in Moderato Cantabile ( curiously trans-,"[('replace', 7, 8, 7, 9), ('replace', 22, 23, 23, 25), ('replace', 28, 29, 30, 31), ('insert', 31, 31, 33, 34)]","[(('der', 'german-dominant'), 1), (('era', 'neutral'), 1), (('rat', 'neutral'), 1), (('rio', 'neutral'), 1), (('iou', 'english-dominant'), 1), (('ous', 'english-dominant'), 1), (('usl', 'neutral'), 1), (('sly', 'neutral'), 1)]"
Syumptoms. Me told Halnenarm Aut de tond,symptoms . He told Hahnemann that he found,"[('replace', 0, 1, 0, 1), ('delete', 2, 3, 2, 2), ('insert', 9, 9, 8, 9), ('replace', 11, 12, 11, 12), ('replace', 21, 22, 21, 22), ('insert', 24, 24, 24, 26), ('insert', 25, 25, 27, 31), ('delete', 26, 31, 32, 32), ('replace', 33, 34, 34, 35), ('replace', 36, 37, 37, 38), ('insert', 38, 38, 39, 40)]","[(('sym', 'neutral'), 2), (('ymp', 'english-dominant'), 1), (('mpt', 'english-dominant'), 1), (('ahn', 'neutral'), 1), (('hne', 'german-dominant'), 1), (('nem', 'neutral'), 1), (('ema', 'neutral'), 2), (('man', 'neutral'), 2), (('ann', 'neutral'), 1), (('tha', 'english-dominant'), 1), (('hat', 'english-dominant'), 1), (('fou', 'english-dominant'), 1)]"
"To te atle 'bs say "" hen yenk next werk"" in an","To be able to say "" New York next week "" is an","[('replace', 3, 4, 3, 4), ('replace', 7, 8, 7, 8), ('replace', 11, 14, 11, 13), ('replace', 21, 22, 20, 21), ('replace', 23, 24, 22, 23), ('replace', 25, 28, 24, 27), ('replace', 37, 38, 36, 37), ('insert', 39, 39, 38, 39), ('replace', 42, 43, 42, 43)]","[(('abl', 'neutral'), 1), (('ble', 'neutral'), 1), (('ork', 'english-dominant'), 1), (('eek', 'english-dominant'), 1)]"
and again und agein it is Me visual gualites,and again and again it is the visual qualities,"[('replace', 10, 11, 10, 11), ('replace', 16, 17, 16, 17), ('replace', 26, 27, 26, 28), ('replace', 36, 37, 37, 38), ('insert', 42, 42, 43, 44)]","[(('and', 'neutral'), 1), (('aga', 'english-dominant'), 1), (('gai', 'english-dominant'), 1), (('ain', 'english-dominant'), 1), (('the', 'english-dominant'), 1), (('lit', 'neutral'), 1), (('iti', 'neutral'), 1)]"
"im Mo othel conquered conntrey, Moteven","In no other conquered country , not even","[('replace', 0, 2, 0, 2), ('replace', 3, 4, 3, 4), ('replace', 10, 11, 10, 11), ('replace', 24, 25, 24, 25), ('delete', 28, 29, 28, 28), ('insert', 30, 30, 29, 30), ('replace', 32, 33, 32, 33), ('insert', 35, 35, 35, 36)]","[(('her', 'neutral'), 1), (('cou', 'english-dominant'), 1), (('oun', 'english-dominant'), 1), (('unt', 'neutral'), 1), (('try', 'english-dominant'), 1), (('not', 'english-dominant'), 1)]"
"hgeill de Unter helteur, No tud","hoped , he told Arthur , ' to find","[('replace', 1, 2, 1, 3), ('replace', 3, 6, 4, 5), ('replace', 7, 15, 6, 7), ('insert', 18, 18, 10, 13), ('insert', 19, 19, 14, 18), ('replace', 20, 21, 19, 20), ('insert', 23, 23, 22, 23), ('replace', 25, 26, 25, 28), ('replace', 28, 30, 30, 33)]","[(('hop', 'english-dominant'), 1), (('ope', 'english-dominant'), 2), (('ped', 'english-dominant'), 1), (('tol', 'english-dominant'), 1), (('old', 'english-dominant'), 1), (('rth', 'english-dominant'), 2), (('thu', 'english-dominant'), 2), (('hur', 'english-dominant'), 1)]"
"tfeden it mut fer Gelungnl. Dut it monser mafed Mex! Bomeufon,","So the bus set out for Llangrwl . But it never reached there ! Somewhere ,","[('insert', 0, 0, 0, 3), ('replace', 1, 2, 4, 5), ('replace', 3, 4, 6, 12), ('delete', 5, 8, 13, 13), ('replace', 10, 11, 15, 16), ('replace', 15, 16, 20, 21), ('replace', 18, 20, 23, 24), ('replace', 21, 22, 25, 26), ('replace', 24, 25, 28, 30), ('insert', 26, 26, 31, 32), ('replace', 28, 29, 34, 35), ('delete', 35, 37, 41, 41), ('replace', 38, 39, 42, 44), ('replace', 42, 43, 47, 49), ('replace', 44, 45, 50, 52), ('replace', 48, 49, 55, 57), ('replace', 50, 51, 58, 61), ('replace', 53, 54, 63, 64), ('replace', 57, 61, 67, 73)]","[(('the', 'english-dominant'), 3), (('bus', 'english-dominant'), 1), (('out', 'english-dominant'), 1), (('for', 'english-dominant'), 2), (('lan', 'neutral'), 2), (('ang', 'neutral'), 1), (('ngr', 'neutral'), 1), (('grw', 'english-dominant'), 1), (('rwl', 'english-dominant'), 1), (('nev', 'english-dominant'), 1), (('eve', 'english-dominant'), 2), (('ver', 'neutral'), 1), (('rea', 'english-dominant'), 1), (('eac', 'english-dominant'), 2), (('ach', 'german-dominant'), 1), (('che', 'german-dominant'), 1), (('hed', 'english-dominant'), 1), (('her', 'neutral'), 1), (('ere', 'neutral'), 1)]"
"Sept. 27, I335 Denr Melboune,  haue vereived","Sept. 27 , 1835 ' Dear Melbourne , ' I have received","[('insert', 8, 8, 8, 9), ('replace', 10, 12, 11, 13), ('insert', 15, 15, 16, 18), ('replace', 17, 18, 20, 21), ('insert', 26, 26, 29, 30), ('insert', 28, 28, 32, 33), ('insert', 30, 30, 35, 38), ('replace', 33, 34, 41, 42), ('replace', 36, 37, 44, 45), ('replace', 38, 39, 46, 47)]","[(('elb', 'german-dominant'), 1), (('lbo', 'english-dominant'), 1), (('bou', 'english-dominant'), 1), (('our', 'english-dominant'), 1), (('urn', 'english-dominant'), 1), (('rne', 'neutral'), 1)]"
"Mstrumeuks of democnacy, such ar trade uuiows","instruments of democracy , such as trade unions","[('replace', 0, 1, 0, 2), ('replace', 7, 9, 8, 10), ('replace', 19, 20, 20, 21), ('insert', 23, 23, 24, 25), ('replace', 31, 32, 33, 34), ('replace', 40, 41, 42, 43), ('replace', 43, 44, 45, 46)]","[(('ins', 'neutral'), 1), (('ume', 'neutral'), 1), (('men', 'neutral'), 1), (('ent', 'neutral'), 1), (('nts', 'neutral'), 1), (('moc', 'english-dominant'), 1), (('ocr', 'english-dominant'), 1), (('cra', 'english-dominant'), 1), (('acy', 'english-dominant'), 1), (('uni', 'neutral'), 1), (('nio', 'english-dominant'), 1), (('ion', 'neutral'), 1)]"
"Brtaim in nuvomortable in her voll o, Mampion",""" Britain is uncomfortable in her role of champion","[('insert', 0, 0, 0, 2), ('insert', 2, 2, 4, 5), ('replace', 5, 6, 8, 9), ('insert', 8, 8, 11, 14), ('replace', 9, 13, 15, 16), ('insert', 15, 15, 18, 19), ('replace', 30, 31, 34, 35), ('replace', 33, 34, 37, 38), ('replace', 36, 37, 40, 41), ('replace', 38, 39, 42, 44)]","[(('rit', 'neutral'), 1), (('ita', 'neutral'), 1), (('tai', 'english-dominant'), 1), (('ain', 'english-dominant'), 1), (('unc', 'english-dominant'), 1), (('nco', 'english-dominant'), 1), (('her', 'neutral'), 1), (('rol', 'neutral'), 1), (('ole', 'neutral'), 1)]"
hat Chap. MeWitt. t00. Leawe it touue.,"that chap , Hewitt , too . Leave it to me . '","[('insert', 0, 0, 0, 1), ('replace', 4, 5, 5, 6), ('delete', 8, 9, 9, 9), ('replace', 10, 11, 10, 13), ('replace', 12, 13, 14, 15), ('replace', 16, 17, 18, 20), ('replace', 19, 21, 22, 25), ('replace', 26, 27, 30, 31), ('replace', 34, 36, 38, 40), ('insert', 37, 37, 41, 42), ('insert', 38, 38, 43, 45)]","[(('hap', 'english-dominant'), 1), (('wit', 'english-dominant'), 1), (('itt', 'neutral'), 1)]"
"Cant go ligkting bonfires on this bus,""",""" Can't go lighting bonfires on this bus , ""","[('insert', 0, 0, 0, 2), ('insert', 3, 3, 5, 6), ('replace', 11, 12, 14, 15), ('insert', 37, 37, 40, 41), ('insert', 38, 38, 42, 43)]","[(('lig', 'neutral'), 1), (('bus', 'english-dominant'), 1)]"
"doulourcux: As pareky as 1330, when Anglesey believed","douloureux . As early as 1830 , when Anglesey believed","[('replace', 7, 8, 7, 8), ('replace', 10, 11, 10, 12), ('replace', 15, 16, 16, 17), ('replace', 18, 20, 19, 20), ('replace', 26, 27, 26, 27), ('insert', 29, 29, 29, 30)]","[(('ure', 'neutral'), 1), (('reu', 'neutral'), 1), (('eux', 'english-dominant'), 1), (('ear', 'english-dominant'), 1), (('arl', 'english-dominant'), 1), (('rly', 'english-dominant'), 1)]"
"of natues, ailcuen und s ih geople Man","of mothers , children and sick people than","[('replace', 3, 5, 3, 5), ('replace', 6, 7, 6, 7), ('insert', 8, 8, 8, 9), ('insert', 9, 9, 10, 11), ('replace', 11, 12, 13, 15), ('replace', 14, 16, 17, 19), ('replace', 19, 20, 22, 23), ('insert', 24, 24, 27, 30), ('replace', 25, 29, 31, 32), ('replace', 35, 36, 38, 40)]","[(('mot', 'neutral'), 1), (('oth', 'english-dominant'), 2), (('the', 'english-dominant'), 1), (('her', 'neutral'), 2), (('ers', 'neutral'), 2), (('chi', 'neutral'), 1), (('hil', 'english-dominant'), 1), (('ild', 'neutral'), 1), (('dre', 'neutral'), 1), (('ren', 'german-dominant'), 1), (('and', 'neutral'), 1), (('sic', 'german-dominant'), 1), (('ick', 'neutral'), 1), (('opl', 'english-dominant'), 1), (('ple', 'english-dominant'), 1)]"
Cangimenus alo remurks at once,longimanus also remains at one,"[('replace', 0, 2, 0, 2), ('replace', 6, 7, 6, 7), ('insert', 13, 13, 13, 14), ('replace', 18, 21, 19, 22), ('delete', 28, 29, 29, 29)]","[(('lon', 'english-dominant'), 1), (('ong', 'english-dominant'), 1), (('ima', 'neutral'), 1), (('man', 'neutral'), 1), (('anu', 'neutral'), 1), (('als', 'neutral'), 1), (('lso', 'neutral'), 1), (('rem', 'neutral'), 1), (('ema', 'neutral'), 1), (('mai', 'english-dominant'), 1), (('ain', 'english-dominant'), 1), (('ins', 'neutral'), 1), (('one', 'neutral'), 1)]"
after lager of illusion to se peeled off aner,after layer of illusion to be peeled off and,"[('replace', 8, 9, 8, 9), ('replace', 27, 28, 27, 28), ('replace', 43, 45, 43, 44)]","[(('lay', 'english-dominant'), 1), (('aye', 'english-dominant'), 1), (('yer', 'english-dominant'), 1), (('and', 'neutral'), 1)]"
Se had made info dhr pereblums Hat beset,he had made into the problems that beset,"[('replace', 0, 1, 0, 1), ('replace', 14, 15, 14, 15), ('replace', 17, 18, 17, 18), ('replace', 19, 20, 19, 20), ('delete', 22, 23, 22, 22), ('replace', 24, 25, 23, 24), ('replace', 27, 28, 26, 27), ('replace', 31, 32, 30, 32)]","[(('int', 'neutral'), 1), (('nto', 'english-dominant'), 1), (('the', 'english-dominant'), 2), (('pro', 'neutral'), 1), (('rob', 'neutral'), 2), (('obl', 'neutral'), 1), (('ble', 'neutral'), 1), (('lem', 'neutral'), 1), (('ems', 'neutral'), 1), (('tha', 'english-dominant'), 1), (('hat', 'english-dominant'), 1)]"
Deute Gabrial Ponetli had nimple tankes im frod. At ione,Dante Gabriel Rossetti had simple tastes in food . At one,"[('replace', 1, 3, 1, 3), ('replace', 11, 12, 11, 12), ('replace', 14, 15, 14, 15), ('replace', 16, 17, 16, 18), ('replace', 19, 20, 20, 21), ('replace', 26, 27, 27, 28), ('replace', 35, 37, 36, 38), ('replace', 41, 42, 42, 43), ('replace', 44, 45, 45, 46), ('insert', 47, 47, 48, 49), ('delete', 52, 53, 54, 54)]","[(('ant', 'neutral'), 1), (('nte', 'german-dominant'), 1), (('rie', 'neutral'), 1), (('iel', 'german-dominant'), 1), (('oss', 'neutral'), 1), (('sse', 'german-dominant'), 1), (('set', 'neutral'), 1), (('ett', 'english-dominant'), 1), (('tti', 'english-dominant'), 1), (('tas', 'english-dominant'), 1), (('ast', 'english-dominant'), 1), (('ste', 'neutral'), 1), (('foo', 'english-dominant'), 1), (('ood', 'english-dominant'), 1)]"
"some expenrive, some guik cheapi some good","some expensive , some quite cheap ; some good","[('replace', 10, 11, 10, 11), ('insert', 14, 14, 14, 15), ('replace', 21, 22, 22, 23), ('replace', 24, 25, 25, 27), ('replace', 31, 32, 33, 35)]","[(('ens', 'german-dominant'), 1), (('nsi', 'neutral'), 1), (('siv', 'neutral'), 1), (('qui', 'english-dominant'), 1), (('uit', 'english-dominant'), 1), (('ite', 'neutral'), 1), (('hea', 'english-dominant'), 1), (('eap', 'english-dominant'), 1)]"
said Britain had an obligation Fo unsult,said Britain had an obligation to consult,"[('replace', 31, 32, 31, 32), ('replace', 34, 35, 34, 36)]","[(('con', 'english-dominant'), 1)]"
upins aud numerous others.,lupins and numerous others .,"[('insert', 0, 0, 0, 1), ('replace', 7, 8, 8, 9), ('insert', 25, 25, 26, 27)]","[(('and', 'neutral'), 1), (('ers', 'neutral'), 1)]"
inhoriked desine Ao rucb Ahu man. If De did he,inherited desire to snub the man . If he did he,"[('replace', 3, 4, 3, 4), ('replace', 6, 7, 6, 7), ('replace', 14, 15, 14, 15), ('replace', 17, 18, 17, 18), ('replace', 20, 21, 20, 22), ('delete', 22, 23, 23, 23), ('replace', 25, 26, 25, 26), ('replace', 27, 28, 27, 28), ('insert', 32, 32, 32, 33), ('replace', 37, 38, 38, 39)]","[(('nhe', 'neutral'), 1), (('her', 'neutral'), 1), (('eri', 'neutral'), 1), (('rit', 'neutral'), 1), (('ite', 'neutral'), 1), (('ted', 'english-dominant'), 1), (('sir', 'english-dominant'), 1), (('ire', 'english-dominant'), 1), (('snu', 'neutral'), 2), (('nub', 'english-dominant'), 1), (('the', 'english-dominant'), 2)]"
fint. 1wont staud for i. Exit a pglech ameican.,"first . I won't stand for it . "" Exit a puzzled American .","[('replace', 2, 3, 2, 4), ('insert', 4, 4, 5, 6), ('replace', 6, 7, 8, 10), ('insert', 10, 10, 13, 14), ('replace', 15, 16, 19, 20), ('insert', 23, 23, 27, 29), ('insert', 24, 24, 30, 32), ('replace', 33, 34, 41, 44), ('replace', 36, 38, 46, 47), ('replace', 39, 40, 48, 49), ('insert', 42, 42, 51, 52), ('insert', 46, 46, 56, 57)]","[(('fir', 'english-dominant'), 1), (('irs', 'english-dominant'), 1), (('rst', 'neutral'), 2), (('for', 'english-dominant'), 2), (('xit', 'english-dominant'), 1), (('puz', 'english-dominant'), 1), (('uzz', 'english-dominant'), 1), (('led', 'neutral'), 1)]"
His wohole attitude was a mixture of,His whole attitude was a mixture of,"[('delete', 5, 6, 5, 5)]","[(('who', 'english-dominant'), 1), (('hol', 'english-dominant'), 1)]"
He ammuut of derical work bepre...,the amount of clerical work before ...,"[('replace', 0, 1, 0, 2), ('replace', 5, 6, 6, 7), ('replace', 7, 8, 8, 9), ('replace', 13, 14, 14, 16), ('replace', 28, 29, 30, 32), ('insert', 31, 31, 34, 35)]","[(('the', 'english-dominant'), 1), (('amo', 'english-dominant'), 1), (('mou', 'english-dominant'), 2), (('oun', 'english-dominant'), 1), (('unt', 'neutral'), 1), (('bef', 'neutral'), 1), (('efo', 'english-dominant'), 1), (('for', 'english-dominant'), 1)]"
